Author_name,Author_link,Birthday,Number_quotes,Quotes,STT,Deathday,Birthyear,Age
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,31/07/1965,9,"['“It is our choices, Harry, that show what we truly are, far more than our abilities.”', '“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”', '“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”', '“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”', '“To the well-organized mind, death is but the next great adventure.”', '“It matters not what someone is born, but what they grow to be.”', '“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”', '“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”', '“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”']",15,,1965,58
Elie Wiesel,http://quotes.toscrape.com/author/Elie-Wiesel,30/09/1928,1,"[""“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”""]",16,2016.0,1928,88
C.S. Lewis,http://quotes.toscrape.com/author/C-S-Lewis,29/11/1898,5,"['“You can never get a cup of tea large enough or a book long enough to suit me.”', '“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”', '“Some day you will be old enough to start reading fairy tales again.”', '“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”', '“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”']",17,1963.0,1898,65
James Baldwin,http://quotes.toscrape.com/author/James-Baldwin,02/08/1924,1,"['“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”']",18,1987.0,1924,63
Charles M. Schulz,http://quotes.toscrape.com/author/Charles-M-Schulz,26/11/1922,1,"[""“All you need is love. But a little chocolate now and then doesn't hurt.”""]",19,2000.0,1922,78
George Bernard Shaw,http://quotes.toscrape.com/author/George-Bernard-Shaw,26/07/1856,1,"[""“Life isn't about finding yourself. Life is about creating yourself.”""]",20,1950.0,1856,94
John Lennon,http://quotes.toscrape.com/author/John-Lennon,09/10/1940,1,"[""“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”""]",21,1980.0,1940,40
Stephenie Meyer,http://quotes.toscrape.com/author/Stephenie-Meyer,24/12/1973,1,"[""“He's like a drug for you, Bella.”""]",22,,1973,50
Jim Henson,http://quotes.toscrape.com/author/Jim-Henson,24/09/1936,1,['“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”'],23,1990.0,1936,54
Helen Keller,http://quotes.toscrape.com/author/Helen-Keller,27/06/1880,1,"['“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”']",24,1968.0,1880,88
Suzanne Collins,http://quotes.toscrape.com/author/Suzanne-Collins,11/08/1962,2,"['“You don’t forget the face of the person who was your last hope.”', ""“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”""]",25,,1962,61
E.E. Cummings,http://quotes.toscrape.com/author/E-E-Cummings,14/10/1894,1,['“It takes courage to grow up and become who you really are.”'],26,1962.0,1894,68
André Gide,http://quotes.toscrape.com/author/Andre-Gide,22/11/1869,1,['“It is better to be hated for what you are than to be loved for what you are not.”'],27,1951.0,1869,82
Alfred Tennyson,http://quotes.toscrape.com/author/Alfred-Tennyson,06/08/1809,1,['“If I had a flower for every time I thought of you...I could walk through my garden forever.”'],28,1892.0,1809,83
William Nicholson,http://quotes.toscrape.com/author/William-Nicholson,12/01/1948,1,"[""“We read to know we're not alone.”""]",29,,1948,75
Pablo Neruda,http://quotes.toscrape.com/author/Pablo-Neruda,12/07/1904,1,"['“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”']",30,1973.0,1904,69
Madeleine L'Engle,http://quotes.toscrape.com/author/Madeleine-LEngle,29/11/1918,1,"['“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”']",31,2007.0,1918,89
Ayn Rand,http://quotes.toscrape.com/author/Ayn-Rand,02/02/1905,1,"[""“The question isn't who is going to let me; it's who is going to stop me.”""]",32,1982.0,1905,77
George R.R. Martin,http://quotes.toscrape.com/author/George-R-R-Martin,20/09/1948,2,"['“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”', '“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”']",33,,1948,75
Garrison Keillor,http://quotes.toscrape.com/author/Garrison-Keillor,07/08/1942,1,['“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”'],34,,1942,81
J.M. Barrie,http://quotes.toscrape.com/author/J-M-Barrie,09/05/1860,1,['“To die will be an awfully big adventure.”'],35,1937.0,1860,77
Terry Pratchett,http://quotes.toscrape.com/author/Terry-Pratchett,28/04/1948,1,"['“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”']",36,2015.0,1948,67
Ernest Hemingway,http://quotes.toscrape.com/author/Ernest-Hemingway,21/07/1899,2,"['“There is no friend as loyal as a book.”', '“There is nothing to writing. All you do is sit down at a typewriter and bleed.”']",37,1961.0,1899,62
J.D. Salinger,http://quotes.toscrape.com/author/J-D-Salinger,01/01/1919,1,"[""“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”""]",38,2010.0,1919,91
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,16/12/1775,5,"['“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”', '“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”', ""“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"", '“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”', '“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”']",39,1817.0,1775,42
Dr. Seuss,http://quotes.toscrape.com/author/Dr-Seuss,02/03/1904,6,"['“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”', '“Today you are You, that is truer than true. There is no one alive who is Youer than You.”', ""“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"", ""“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”"", '“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”', ""“A person's a person, no matter how small.”""]",40,1991.0,1904,87
Steve Martin,http://quotes.toscrape.com/author/Steve-Martin,14/08/1945,1,"['“A day without sunshine is like, you know, night.”']",41,,1945,78
J.R.R. Tolkien,http://quotes.toscrape.com/author/J-R-R-Tolkien,03/01/1892,1,['“Not all those who wander are lost.”'],42,1973.0,1892,81
Jimi Hendrix,http://quotes.toscrape.com/author/Jimi-Hendrix,27/11/1942,1,"[""“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”""]",43,,1942,81
Harper Lee,http://quotes.toscrape.com/author/Harper-Lee,28/04/1926,1,['“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”'],44,2016.0,1926,90
W.C. Fields,http://quotes.toscrape.com/author/W-C-Fields,29/01/1880,1,['“I am free of all prejudice. I hate everyone equally. ”'],45,1946.0,1880,66
Ralph Waldo Emerson,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,25/05/1803,2,"['“For every minute you are angry you lose sixty seconds of happiness.”', '“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”']",46,1882.0,1803,79
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,14/03/1879,10,"['“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”', '“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”', '“Try not to become a man of success. Rather become a man of value.”', ""“If you can't explain it to a six year old, you don't understand it yourself.”"", '“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”', '“Logic will get you from A to Z; imagination will get you everywhere.”', '“Any fool can know. The point is to understand.”', '“Life is like riding a bicycle. To keep your balance, you must keep moving.”', '“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”', '“Anyone who has never made a mistake has never tried anything new.”']",47,1955.0,1879,76
Douglas Adams,http://quotes.toscrape.com/author/Douglas-Adams,11/03/1952,1,"['“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”']",48,2001.0,1952,49
Jorge Luis Borges,http://quotes.toscrape.com/author/Jorge-Luis-Borges,24/08/1899,1,['“I have always imagined that Paradise will be a kind of library.”'],49,1986.0,1899,87
Charles Bukowski,http://quotes.toscrape.com/author/Charles-Bukowski,16/08/1920,2,"[""“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”"", '“Some people never go crazy. What truly horrible lives they must lead.”']",50,1994.0,1920,74
